Path,Type,Size
seminars\sem1\ex01.py,File,252
seminars\sem1\ex02.py,File,756
seminars\sem1\ex03.py,File,1131
seminars\sem1\ex04.py,File,436
seminars\sem1\ex05.py,File,322
seminars\sem1,Directory,2897
seminars\sem2\ex01.py,File,1110
seminars\sem2\ex02.py,File,944
seminars\sem2\ex03.py,File,608
seminars\sem2\ex04.py,File,479
seminars\sem2\ex05.py,File,2406
seminars\sem2,Directory,5547
seminars\sem3\ex01.py,File,690
seminars\sem3\ex02.py,File,1127
seminars\sem3\ex03.py,File,523
seminars\sem3\ex04.py,File,465
seminars\sem3\ex05.py,File,553
seminars\sem3\ex06.py,File,790
seminars\sem3\ex07.py,File,808
seminars\sem3\ex08.py,File,1630
seminars\sem3,Directory,6586
seminars\sem4\ex01.py,File,956
seminars\sem4\ex02.py,File,1583
seminars\sem4\ex03.py,File,1253
seminars\sem4\ex04.py,File,684
seminars\sem4\ex05.py,File,1058
seminars\sem4\ex06.py,File,923
seminars\sem4\ex07.py,File,854
seminars\sem4\ex08.py,File,849
seminars\sem4,Directory,8160
seminars\sem5\ex01.py,File,726
seminars\sem5\ex02.py,File,420
seminars\sem5\ex03.py,File,534
seminars\sem5\ex04.py,File,514
seminars\sem5\ex05.py,File,980
seminars\sem5\ex06.py,File,556
seminars\sem5\ex07.py,File,736
seminars\sem5,Directory,4466
seminars\sem6\ex01\sem_package\__pycache__\ex05.cpython-311.pyc,File,2040
seminars\sem6\ex01\sem_package\__pycache__\ex06.cpython-311.pyc,File,2280
seminars\sem6\ex01\sem_package\__pycache__\__init__.cpython-311.pyc,File,205
seminars\sem6\ex01\sem_package\__pycache__,Directory,4525
seminars\sem6\ex01\sem_package\ex01.py,File,1227
seminars\sem6\ex01\sem_package\ex02.py,File,1187
seminars\sem6\ex01\sem_package\ex03.py,File,997
seminars\sem6\ex01\sem_package\ex04.py,File,1376
seminars\sem6\ex01\sem_package\ex05.py,File,2181
seminars\sem6\ex01\sem_package\ex06.py,File,2039
seminars\sem6\ex01\sem_package\ex07.py,File,474
seminars\sem6\ex01\sem_package\__init__.py,File,28
seminars\sem6\ex01\sem_package,Directory,9509
seminars\sem6\ex01\main.py,File,299
seminars\sem6\ex01,Directory,299
seminars\sem6,Directory,299
seminars\sem7\.doc\ex04_bqzTBbHSPNsKCcMCkLQsDpgkK.doc,File,345
seminars\sem7\.doc\ex04_CsHvqntkGQknJaEZcZVgYhibdf.doc,File,905
seminars\sem7\.doc\ex04_dOHSUFIapKaYvJzoc.doc,File,477
seminars\sem7\.doc\ex04_IHRRvWc.doc,File,2993
seminars\sem7\.doc\ex04_LhYgPIKfFU.doc,File,2159
seminars\sem7\.doc\ex04_qjCddkXdLHNtfJ.doc,File,3876
seminars\sem7\.doc,Directory,10755
seminars\sem7\.mov\ex04_EPYWEbPrEEoIOVCOABGW.mov,File,2499
seminars\sem7\.mov\ex04_LvhTCGhkDsfvazGwpdFTRzyGXlw.mov,File,1092
seminars\sem7\.mov\ex04_sKZPlgROf.mov,File,281
seminars\sem7\.mov,Directory,3872
seminars\sem7\.pdf\ex04_jYiABhV.pdf,File,570
seminars\sem7\.pdf\ex04_tZNpzyclVywajb.pdf,File,1588
seminars\sem7\.pdf\ex04_WEKnBtkhtyEtHjVABW.pdf,File,2016
seminars\sem7\.pdf,Directory,4174
seminars\sem7\ex01.py,File,866
seminars\sem7\ex01.txt,File,446
seminars\sem7\ex02.py,File,949
seminars\sem7\ex02.txt,File,85
seminars\sem7\ex03.py,File,2214
seminars\sem7\ex03.txt,File,327
seminars\sem7\ex04.py,File,1753
seminars\sem7\ex05.py,File,1257
seminars\sem7\_ex01.py,File,2962
seminars\sem7,Directory,10859
seminars\sem8\ex01.json,File,345
seminars\sem8\ex01.pickle,File,333
seminars\sem8\ex01.py,File,1001
seminars\sem8\ex01.txt,File,327
seminars\sem8\ex02.csv,File,83
seminars\sem8\ex02.json,File,82
seminars\sem8\ex02.pickle,File,123
seminars\sem8\ex02.py,File,1808
seminars\sem8\ex03.py,File,905
seminars\sem8\ex04.json,File,375
seminars\sem8\ex04.pickle,File,180
seminars\sem8\ex04.py,File,1373
seminars\sem8\ex05.py,File,800
seminars\sem8\ex06.py,File,512
seminars\sem8\ex07.py,File,635
seminars\sem8,Directory,8882
